t,i,dt,cells,lower_center,upper_center,lower_u,upper_u,closing_speed,moment_gap,plic_gap,plic_valid,lower_samples,upper_samples,anchor_active,released_this_step,anchor_acceleration,anchor_feedforward,effective_mass,support_volume,buoyancy_force,reaction_force,reaction_power,constraint_work,release_time,release_gap,saturation_count,lower_gas_drift,lower_oil_drift,upper_gas_drift,upper_oil_drift,nesting_volume,envelope_overlap_volume,gas_overlap_volume,overfill_volume,maximum_speed,umax_x,umax_y,umax_water_fraction,umax_oil_fraction,umax_gas_fraction,lower_outer_interface_velocity_rms,lower_outer_interface_velocity_max,lower_gas_interface_velocity_rms,lower_gas_interface_velocity_max,upper_outer_interface_velocity_rms,upper_outer_interface_velocity_max,upper_gas_interface_velocity_rms,upper_gas_interface_velocity_max,projected_volume_change,pressure_iterations,scaled_pressure_residual,viscosity_iterations,viscosity_residual,momentum_transport_mode,invalid_cells,invalid_faces,transport_failed,max_cell_partition_defect,max_face_partition_defect,max_vof_bound_defect,max_partition_correction,nested_plic_fallbacks,nested_plic_fallbacks_max,transport_cpu_seconds,lower_aspect,upper_aspect,kinetic_energy,surface_energy,pressure_integral,film_mean_pressure,film_max_pressure,film_support_volume,lower_contact_delta,upper_contact_delta,film_cells,film_distribution_valid_bins,film_distribution_total_bins,film_valid_area_fraction,film_nonpositive_gap_bins,film_min_gap,film_min_cells,film_p10_cells,film_median_cells,film_resolved_area_fraction
1e-05,51,2.3419901261087128e-07,27310,-0.019498721017141687,-0.016089657278891268,0.09988667149120484,0.0059660021469825275,0.09392066934422234,0.0007896085727142539,0.0008007265302114146,1,124,122,1,0,-65.00365108834983,-40.89959047597277,1.9244459102201422e-06,9.965483382245869e-09,7.870762749604753e-05,-0.00012509601048635194,-7.4636474263764e-07,-7.459376218063768e-12,,,0,7.929448894714183e-10,4.8084438553273384e-09,2.150068880981444e-05,5.125167686975169e-05,0.0,0.0,0,0,0.2006744014029376,-0.01958984375,1.953125e-05,0,0,1,0.05962629373056541,0.1032452550512134,0.06927685607913851,0.12944248359780838,0.008430894038591917,0.04204233112369357,0.00801251728439854,0.12522392915220631,2.7003550480032613e-09,6,3.1908492266458707e-12,9,4.9854254368598885e-06,4,0,0,0,-0.0,0,3.308722450212111e-24,3.308722450212111e-24,0,0,0.015384,1.030735972271786,1.0090913820399976,3.034633125688155e-08,2.54058244956112e-06,-0.15708380160582255,182.97836876568886,210.87775603341504,6.038925700859761e-10,1.953125e-05,1.953125e-05,40.99719834682442,32,32,1,0,0.0008011064830534403,41.01665193233615,41.518009880369,44.92871408010704,1.0
2e-05,92,2.4390243902438816e-07,27511,-0.019497721987343508,-0.016089597730565,0.09995442446897336,0.00593239401139755,0.09402203045757582,0.0007887786396965977,0.0007999289763526013,1,124,120,1,0,-65.10666879154034,-40.89959047597277,1.9244495447924784e-06,9.965483385090723e-09,7.870762749604753e-05,-0.00012529449911883448,-7.433216547028085e-07,-1.4907989449772875e-11,,,0,3.917538797982722e-10,4.777470881317342e-09,2.1617259594756644e-05,5.171982047160752e-05,0.0,0.0,0,0,0.20081060898170364,-0.01958984375,1.953125e-05,0,0,1,0.059674403238111476,0.1031593579632894,0.06933700037066408,0.1295394203727217,0.008468465432036562,0.04462818263994306,0.008094219488184163,0.12548759855264766,7.326758708626032e-09,6,8.65759573968075e-12,9,8.061700765193015e-06,4,0,0,0,-0.0,0,1.0587911840678754e-22,1.0587911840678754e-22,0,0,0.015209,1.0307872487104237,1.0091693420447474,3.039743677660921e-08,2.541063138857278e-06,-0.15708081724477566,183.13019630453212,216.78305993107818,6.019220804949368e-10,1.953125e-05,1.953125e-05,40.956363589253186,32,32,1,0,0.0008005247491788027,40.9868671579547,41.4769695399574,44.888848358113975,1.0
3.0000000000000008e-05,133,2.4390243902439154e-07,27547,-0.019496722266123197,-0.01608953830821353,0.10002255465972294,0.005899238245874246,0.0941233164138487,0.0007878714857333426,0.0007992695872415556,1,124,120,1,0,-65.21185019947863,-40.89959047597277,1.924451206262037e-06,9.965482300150602e-09,7.870762749604753e-05,-0.0001254970237789659,-7.403989312392913e-07,-2.2326395838990802e-11,,,0,4.3496837051346293e-10,4.739818008429194e-09,2.161715764635001e-05,5.117466361019569e-05,0.0,0.0,0,0,0.20098340130459388,-0.01958984375,1.953125e-05,0,0,1,0.059719828624627214,0.10308458942127084,0.06938672683635681,0.12972876941983685,0.008450154243168211,0.044696784884821456,0.008132104716512087,0.11862289647143755,6.550220928085677e-09,6,4.0299210788042635e-12,9,3.894899270991711e-06,4,0,0,0,-0.0,0,1.0587911840678754e-22,1.0587911840678754e-22,0,0,0.015403,1.0308383675734702,1.0092754826685604,3.0447880918225984e-08,2.5412282803277403e-06,-0.15708053181745954,182.9382267495488,220.23394982678917,6.019100683430962e-10,1.953125e-05,1.953125e-05,40.92260286676765,32,32,1,0,0.0007998636795911902,40.95302039506894,41.435124389663784,44.84901002023917,1.0
4e-05,174,2.4390243902438477e-07,27571,-0.019495721860662226,-0.01608947942795101,0.10009005997032457,0.005865371117548186,0.09422468885277635,0.0007869838615199413,0.0007984211659371605,1,124,120,1,0,-65.31271623884656,-40.89959047597277,1.924454084828849e-06,9.965482298433772e-09,7.870762749604753e-05,-0.0001256913235571158,-7.373210772685022e-07,-2.971444143851334e-11,,,0,6.970556227220861e-10,4.6507506890357165e-09,2.161737226176586e-05,5.11746608470213e-05,0.0,0.0,0,0,0.20107929197514995,-0.01958984375,1.953125e-05,0,0,1,0.05976684133936176,0.1034188384767362,0.06943437261576993,0.13001032670117407,0.008424115354137538,0.044722411037786874,0.00814827789040055,0.10917710989199454,3.054043921712368e-08,5,4.0780766672055765e-12,8,9.32600027599628e-06,4,0,0,0,-0.0,0,1.0587911840678754e-22,1.0587911840678754e-22,0,0,0.015494,1.0308885797105023,1.0093748681063617,3.0498137612499914e-08,2.5411553639894144e-06,-0.1570803712282896,183.01576434852845,221.5072420780212,6.018903880966798e-10,1.953125e-05,1.953125e-05,40.87916369598261,32,32,1,0,0.0007991902031224685,40.91853839987039,41.393351410010844,44.809381742360436,1.0
5e-05,215,2.4390243902438477e-07,27568,-0.019494720772670192,-0.01608942086060684,0.10015781129792438,0.0058311693131846785,0.09432664198473968,0.000786120848172503,0.0007975393528365446,1,124,120,1,0,-65.40911042994526,-40.89959047597277,1.9244566641599904e-06,9.965482168015748e-09,7.870762749604753e-05,-0.00012587699846368489,-7.340818076334052e-07,-3.7071059984746724e-11,,,0,7.754786093628985e-10,4.535840434479253e-09,2.1606479411088196e-05,5.106556615331476e-05,0.0,0.0,0,0,0.20121573928386635,-0.01958984375,1.953125e-05,0,0,1,0.059810084975492415,0.10337924038422426,0.06947466895656121,0.1302834707203354,0.008398639067389184,0.044498007423830456,0.008152755341882163,0.09854947868477408,9.271101311968149e-08,4,6.4572465077775994e-12,10,4.3374821126975646e-06,4,0,0,0,-0.0,0,1.0587911840678754e-22,1.0587911840678754e-22,0,0,0.015508,1.0309394005525785,1.0094645392029364,3.0548413528435e-08,2.5411530754161486e-06,-0.15707970687332554,183.0253429735216,221.5652475121851,6.018630407455592e-10,1.953125e-05,1.953125e-05,40.83401486523108,32,32,1,0,0.0007984860481924649,40.88248566745421,41.351989688581625,45.210487100601426,1.0
6e-05,256,2.4390243902438477e-07,27571,-0.019493719001766288,-0.01608936265846974,0.10022551343241398,0.005796572231996586,0.09442894120041741,0.0007852591374952638,0.000796630164677809,1,124,122,1,0,-65.50359902955573,-40.89959047597277,1.9244593100433706e-06,9.965482167274414e-09,7.870762749604753e-05,-0.00012605901099377643,-7.307918863620716e-07,-4.439506509038184e-11,,,0,9.74162396448442e-10,4.3694151822548336e-09,2.1606569935488973e-05,5.106555636113642e-05,0.0,0.0,0,0,0.2013471021301076,-0.01958984375,1.953125e-05,0,0,1,0.059855916847608125,0.10371118000143867,0.06952030666147224,0.1305013382830799,0.008374139335105477,0.044067038624059855,0.008151376018578509,0.08740723498516326,3.8951967809884686e-08,4,3.3251622761177945e-12,9,4.6742413036293705e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015454,1.0309910588245326,1.0095524967703131,3.0598707095323166e-08,2.5413250252182687e-06,-0.15707840261319495,183.02433458209862,221.00575097968482,6.018280259816399e-10,1.953125e-05,1.953125e-05,40.78746443150383,32,32,1,0,0.0007977309714407334,40.84382573776555,41.31111140485189,44.73069097740439,1.0
6.999999999993806e-05,296,2.4999999999986e-07,27610,-0.019492716553528973,-0.016089304808540192,0.10029301905963416,0.005760394665253962,0.09453262439438019,0.0007844280277786038,0.0007956828265692113,1,124,120,1,0,-65.58874344684295,-40.89959047597277,1.924461793243644e-06,9.96548216433178e-09,7.870762749604753e-05,-0.0001262230308303087,-7.271354391545581e-07,-5.168465750188277e-11,,,0,1.2543805757714945e-09,4.228737030716445e-09,2.1606939281318095e-05,5.1065557618333005e-05,0.0,0.0,0,0,0.20148017062226034,-0.01958984375,1.953125e-05,0,0,1,0.05990457507611448,0.1039761811547327,0.0695717590179401,0.13066814146059647,0.008351652465833267,0.043387150241705696,0.008148861221249928,0.0761767286928378,5.208439777972438e-08,4,5.679127360196707e-12,8,8.281327364408108e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015366999999999999,1.0310420496976636,1.0096299260455504,3.064902491064001e-08,2.541435472207095e-06,-0.15707743594166307,183.05580696525985,220.04189726535904,6.01785333436915e-10,1.953125e-05,1.953125e-05,40.73896072034362,32,32,1,0,0.0007969067473974079,40.80162546674728,41.27067811638003,44.69163606529243,1.0
7.999999999993668e-05,336,2.499999999999967e-07,27544,-0.01949171343291677,-0.01608924731541096,0.10036079745515628,0.005724814044519661,0.09463598341063664,0.0007835985290842621,0.0007947192893775523,1,124,120,1,0,-65.67785040193668,-40.89959047597277,1.9244641075380225e-06,9.965482163844928e-09,7.870762749604753e-05,-0.00012639466575877883,-7.236812953824863e-07,-5.89384316023224e-11,,,0,1.378027431107944e-09,4.143827255343414e-09,2.1606999212171883e-05,5.106555311452074e-05,0.0,0.0,0,0,0.2016120687445006,-0.01958984375,1.953125e-05,0,0,1,0.05995020263667985,0.10393967702044678,0.06962409515357415,0.13078934422815386,0.008332141111545385,0.04256751802109743,0.008148906016643118,0.0651361099219377,1.4162425759726331e-08,6,5.301669824332312e-12,10,5.187220197282746e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015406,1.0310923834980414,1.0097072350558485,3.069948487159032e-08,2.54134893506948e-06,-0.15707746884210302,183.1245976632349,218.66088473254973,6.01734956936098e-10,1.953125e-05,1.953125e-05,40.689627616130686,32,32,1,0,0.0007960368698738604,40.757087737541646,41.23060673365177,44.652740255371796,1.0
8.999999999993667e-05,376,2.499999999999993e-07,27550,-0.019490709642585362,-0.016089190174090374,0.10042747855347334,0.00568966253260995,0.09473781602086337,0.0007827593116964626,0.0007937492899777639,1,124,120,1,0,-65.76475808506079,-40.89959047597277,1.9244662571064e-06,9.965482164153091e-09,7.870762749604753e-05,-0.00012656205784146476,-7.201662768849659e-07,-6.615693827099892e-11,,,0,1.41584563134193e-09,4.124695949489426e-09,2.1606966301790092e-05,5.106557607590595e-05,0.0,0.0,0,0,0.20174295515731108,-0.01958984375,1.953125e-05,0,0,1,0.05999613249612455,0.1041566798067983,0.06967458693866194,0.1308162599182533,0.008315970944905887,0.0416770781469224,0.008152883607627037,0.05454434913365295,1.6917489693477533e-08,5,5.28870223650844e-12,9,5.585048305970343e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015637,1.0311430002832844,1.009787454245635,3.074986127279081e-08,2.5414844425515246e-06,-0.15707640679121704,183.0822928677516,216.72919751671319,5.923142146838399e-10,1.953125e-05,1.953125e-05,40.6399636468615,32,32,1,0,0.0007951179546787298,40.71003927955097,41.19080682232532,44.615069413278796,1.0
9.999999999993692e-05,416,2.499999999999993e-07,27499,-0.01948970518307099,-0.016089133387809845,0.10049599017906434,0.005653563488141803,0.09484242669092252,0.0007819008792203644,0.0007927722892461379,1,124,120,1,0,-65.84618662211994,-40.89959047597277,1.924467275610887e-06,9.965482163415274e-09,7.870762749604753e-05,-0.00012671883137803722,-7.16451247847428e-07,-7.333926919335342e-11,,,0,1.4851912551000996e-09,4.12209062384295e-09,2.147881533533852e-05,5.05521267713809e-05,0.0,0.0,0,0,0.2019154277196664,-0.01958984375,1.953125e-05,0,0,1,0.060044829255466725,0.10431941225343967,0.06972795392706735,0.13080715685666455,0.008303011432305238,0.04074632618745504,0.008158577995120155,0.044573180201152696,2.06581332871052e-08,4,3.761487352225892e-12,10,7.857456043213612e-06,4,0,0,0,-0.0,0,3.3066882565435662e-12,3.3066882565435662e-12,0,0,0.015633,1.0311938590824288,1.009874011215918,3.080065946110905e-08,2.5416275087457005e-06,-0.15707728392350426,183.22033392622257,214.64733288315082,5.922484482929748e-10,1.953125e-05,1.953125e-05,40.58994120940226,32,32,1,0,0.0007941490718369922,40.660432478054,41.15120614527772,44.57704990505782,1.0
