t,i,dt,state_status,state_valid,active,handed_off,reacquired,activation_count,update_count,handoff_time,handoff_raw_valid_area,handoff_raw_crossed_bins,handoff_corridor_at_maxlevel,observation_status,observation_valid,virtual_kinematics,raw_available,raw_valid_area,raw_crossed,raw_unresolved,min_state_gap,min_raw_gap,max_state_raw_gap_discrepancy,film_dt_limit,inventory_before,inventory_after,expected_inventory_after,inventory_residual,edge_flux,reynolds_flux_residual,reynolds_continuity_residual,reynolds_pressure_residual,traction_valid,traction_active,traction_applied,requested_lower_force,requested_upper_force,requested_net_force,actual_lower_force,actual_upper_force,actual_net_force,lower_force_residual,upper_force_residual,net_force_residual,force_audit_tolerance,application_roundoff_faces,swamped_increment_faces,maximum_application_error,application_force_error_l1,missing_lower_support_bins,missing_upper_support_bins,identity_audit_failed,force_audit_failed,force_audit_nonfinite,actual_net_moment,moment_audit_tolerance,radial_first_moment_imbalance,radial_first_moment_tolerance,max_bin_force_imbalance,step_work,cumulative_work,positive_film_work,contact_corridor_at_maxlevel,restart_restored,restart_state_time,restart_continuity_error
1e-05,51,2.3419901261087128e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
2e-05,92,2.4390243902438816e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
3.0000000000000008e-05,133,2.4390243902439154e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
4e-05,174,2.4390243902438477e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
5e-05,215,2.4390243902438477e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
6e-05,256,2.4390243902438477e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
6.999999999993806e-05,296,2.4999999999986e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
7.999999999993668e-05,336,2.499999999999967e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
8.999999999993667e-05,376,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
9.999999999993692e-05,416,2.499999999999993e-07,0,1,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,0
